A,B,C,D
1,7,-19.95,139.25
2,25,-17.98,445.02
3,26,-15.98,462.37
4,18,-13.73,326.15
5,14,-11.88,258.13
6,14,-9.96,258.34
7,21,-7.98,377.25
8,36,-5.8,632.28
9,29,-3.88,513.32
10,24,-1.76,428.14
11,8,0.24,156.13
12,27,2.09,479.17
13,31,4.27,547.13
14,23,6.05,411.02
15,0,8.11,20.09
16,15,10.26,275.07
17,11,11.99,207.12
18,30,14.35,530.26
19,20,16.17,360
20,7,18.33,139.19
21,15,20.34,275.37
22,30,22.21,530.08
23,1,24.13,37.3
24,17,26.28,309.37
25,13,28.28,241.11
26,24,30.35,428.31
27,26,31.98,462.32
28,0,34.28,20.21
29,28,36,496.32
30,22,37.99,394.28
31,35,40.14,615.24
32,34,42.36,598.07
33,37,44.3,649.14
34,29,46.07,513.04
35,28,48.12,496.26
36,33,50.29,581.15
37,18,52.15,326.15
38,4,54.15,88.37
39,28,57,496.35
40,2,58.12,54.09
41,3,60.02,71.05
42,12,62.28,223.99
43,2,64.3,54.28
44,34,65.98,598.17
45,35,68.05,614.98
46,10,70.25,190.23
47,1,72.03,37.02
48,10,74.2,190.06
49,27,76.12,479.26
50,16,78.14,292.01
51,27,80.09,479.37
52,34,82.21,598.2
53,28,84.24,496.12
54,10,86.1,190.12
55,22,88.06,394.11
56,22,90.16,394.31
57,39,92.09,683.36
58,3,94.19,71.1
59,4,95.98,88.24
60,24,98.06,428.32
61,19,100.33,343.04
62,19,102.2,343.19
63,1,104,37.37
64,7,106.1,139.1
65,13,108.32,241.18
66,27,110.06,479.28
67,20,112.06,360.31
68,10,114.01,190.12
69,22,116.37,394.04
70,1,118.14,37.12
71,35,120.33,614.99
72,1,122.04,37.21
73,23,124.37,411.15
74,22,126.04,394.28
75,34,128.1,598.14
76,6,130.37,122.15
77,28,132.09,496.23
78,21,134.19,377.18
79,27,136.33,479.1
80,33,138.34,581.26
81,39,140.3,683.13
82,1,142.23,37.2
83,16,144.06,292.11
84,34,146.21,598.18
85,16,148.07,292.22
86,24,150.14,428.21
87,1,152.02,37.24
88,18,154.24,326.37
89,39,156.03,683.24
90,11,158.29,207.21
91,31,160.28,547.05
92,6,162.21,122.3
93,28,164.3,496.31
94,2,166.16,54.14
95,14,168.32,258.23
96,38,170.16,666.31
97,13,172.1,241.28
98,31,174.28,547.06
99,22,176.19,394.11
100,8,178.22,156.02
